CCLM variable name;CCLM variable name (in model output file);output variable name;to be derived from;Derotate (CORDEX);Level;Conversion factor 1);Cell Method (additional subdaily,CORDEX);Cell Method (subdaily,CORDEX);Cell Method (daily,CORDEX);Cell Method (monthly,CORDEX);Cell Method (seasonal,CORDEX);Levelvalue (height, plev);units;"Additional subdaily frq
[1/day]";"Subdaily frq
[1/day]";ag;"Daily frq
[1/day]";ag;"Monthly frq
[1/mon]";ag;"Seasonal frq
[1/sem]";ag;fx;long_name;description (CORDEX ADD);standard_name;direction of positive fluxes;"realm
(not required, however, if included should have the value as in CMIP5)";"cell-method: area
(optional)"
DURSUN;DURSUN;sund;;;ModelLevel;1;;sum;sum;sum within days time: mean over days;sum within days time: mean over days;0;s;;8;a;1;;1;;1;;;Duration of Sunshine;;duration_of_sunshine;;atmos;
ASWD_S;ASWD_S;rsds;ASWDIR_S + ASWDIFD_S;;ModelLevel;1;;mean;mean;mean;mean;0;W m-2;;8;a;1;;1;;1;;;Surface Downwelling Shortwave Radiation;;surface_downwelling_shortwave_flux_in_air;down;atmos;
ATHD_S;ATHD_S;rlds;;;ModelLevel;1;;mean;mean;mean;mean;0;W m-2;;8;a;1;;1;;1;;;Surface Downwelling Longwave Radiation;;surface_downwelling_longwave_flux_in_air;down;atmos;
ALHFL_S;ALHFL_S;hfls;;;ModelLevel;-1;;mean;mean;mean;mean;0;W m-2;;8;a;1;;1;;1;;;Surface Upward Latent Heat Flux;;surface_upward_latent_heat_flux;up;atmos;
ASHFL_S;ASHFL_S;hfss;;;ModelLevel;-1;;mean;mean;mean;mean;0;W m-2;;8;a;1;;1;;1;;;Surface Upward Sensible Heat Flux;;surface_upward_sensible_heat_flux;up;atmos;
ASWDIFU_S;ASWDIFU_S;rsus;;;ModelLevel;1;;mean;mean;mean;mean;0;W m-2;;8;a;1;;1;;1;;;Surface Upwelling Shortwave Radiation;;surface_upwelling_shortwave_flux_in_air;up;atmos;
ATHU_S;ATHU_S;rlus;;;ModelLevel;1;;mean;mean;mean;mean;0;W m-2;;8;a;1;;1;;1;;;Surface Upwelling Longwave Radiation;;surface_upwelling_longwave_flux_in_air;up;atmos;
AEVAP_S;AEVAP_S;evspsbl;;;ModelLevel;-0,000277778;mean;mean;mean;mean;mean;0;kg m-2 s-1;8;4;a;1;;1;;1;;;Evaporation;;water_evaporation_flux;;atmos;
;;evspsblpot;not output by COSMO;;;;;mean;mean;;;;kg m-2 s-1;;4;a;1;;;;;;;Potential Evapotranspiration;;water_potential_evaporation_flux;;atmos;
W_SO_ICE;W_SO_ICE;mrfso;Sum(W_SO_ICE(1:8));;ModelLevel;1000;;point;mean;mean;mean;8;kg m-2;;4;i;1;4;1;m*4;1;s*4;;Soil Frozen Water Content;;soil_frozen_water_content;;land landIce;mean where land
RUNOFF_S;RUNOFF_S;mrros;;;ModelLevel;0,000277778;;mean;mean;mean;mean;0;kg m-2 s-1;;4;a;1;;1;;1;;;Surface Runoff;;surface_runoff_flux;;land;mean where land
RUNOFF_T;RUNOFF_T;mrro;RUNOFF_G + RUNOFF_S;;ModelLevel;0,000277778;;mean;mean;mean;mean;0;kg m-2 s-1;;4;a;1;;1;;1;;;Total Runoff;;runoff_flux;;land;mean where land
W_SO;W_SO;mrso;Sum(W_SO(1:8);;ModelLevel;1000;;point;mean;mean;mean;8;kg m-2;;4;i;1;4;1;m*4;1;s*4;;Total Soil Moisture Content;;soil_moisture_content;;land;mean where land
W_SNOW;W_SNOW;snw;;;ModelLevel;1000;;point;mean;mean;mean;2;kg m-2;;4;i;1;4;1;m*4;1;s*4;;Surface Snow Amount;;surface_snow_amount;;landIce land;mean where land
SNOW_MELT;SNOW_MELT;snm;;;ModelLevel;0,000277778;;mean;mean;mean;mean;0;kg m-2 s-1;;4;a;1;4;1;;1;;;Surface Snow Melt;;surface_snow_melt_flux;;landIce land;mean where land
TOT_PREC;TOT_PREC;prhmax;daymax(TOT_PREC);;ModelLevel;0,000277778;;;maximum;;;0;kg m-2 s-1;;;a;1;;;;;;;Daily Maximum Hourly Precipitation Rate;;precipitation_flux;;atmos;
PREC_CON;PREC_CON;prc;RAIN_CON + SNOW_CON;;ModelLevel;0,000277778;mean;mean;mean;;;0;kg m-2 s-1;24;8;a;1;;;;;;;Convective Precipitation;;convective_precipitation_flux;;atmos;
ATHB_T;ATHB_T;rlut;;;ModelLevel;-1;;mean;mean;mean;mean;0;W m-2;;4;a;1;;1;;1;;;TOA Outgoing Longwave Radiation;;toa_outgoing_longwave_flux;up;atmos;
ASOD_T;ASOD_T;rsdt;;;ModelLevel;1;;mean;mean;mean;mean;0;W m-2;;4;a;1;;1;;1;;;TOA Incident Shortwave Radiation;;toa_incoming_shortwave_flux;down;atmos;
ASOU_T;ASOU_T;rsut;ASOD_T - ASOB_T;;ModelLevel;1;;mean;mean;mean;mean;0;W m-2;;4;a;1;;1;;1;;;TOA Outgoing Shortwave Radiation;;toa_outgoing_shortwave_flux;up;atmos;
U_10M;U_10M;uas;;derotate;ModelLevel;1;;point;mean;mean;mean;10;m s-1;;4;i;1;4;1;m*4;1;s*4;;Eastward Near-Surface Wind;;eastward_wind;;atmos;
V_10M;V_10M;vas;;derotate;ModelLevel;1;;point;mean;mean;mean;10;m s-1;;4;i;1;4;1;m*4;1;s*4;;Northward Near-Surface Wind;;northward_wind;;atmos;
VMAX_10M;VMAX_10M;wsgsmax;;;ModelLevel;1;;;maximum;;;10;m s-1;;;a;1;;;;;;;Daily Maximum Near-Surface Wind Speed of Gust;;wind_speed_of_gust;;atmos;
;AUMFL_S;tauu;not yet supported on GPU;;;;;mean;mean;;;;Pa;;4;a;1;;;;;;;Surface Downward Eastward Wind Stress;;surface_downward_eastward_stress;down;atmos;
;AVMFL_S;tauv;not yet supported on GPU;;;;;mean;mean;;;;Pa;;4;a;1;;;;;;;Surface Downward Northward Wind Stress;;surface_downward_northward_stress;down;atmos;
T_S;T_S;ts;;;ModelLevel;1;point;point;mean;;;0;K;8;4;i;1;8;;;;;;Surface Temperature;;surface_temperature;;atmos;
HPBL;HPBL;zmla;;;ModelLevel;1;;point;mean;;;0;m;;4;i;1;4;;;;;;Height of Boundary Layer;;atmosphere_boundary_layer_thickness;;atmos;
TQV;TQV;prw;;;ModelLevel;1;;point;mean;;;0;kg m-2;;4;i;1;4;;;;;;Water Vapor Path;;atmosphere_water_vapor_content;;atmos;
TQW;TQW;clwvi;TQC + TQI;;ModelLevel;1;;point;mean;;;0;kg m-2;;4;i;1;4;;;;;;Condensed Water Path;;atmosphere_cloud_condensed_water_content;;atmos;
TQI;TQI;clivi;;;ModelLevel;1;;point;mean;;;0;kg m-2;;4;i;1;4;;;;;;Ice Water Path;;atmosphere_cloud_ice_content;;atmos;
U925p;U;ua925;;derotate;PressureLevel;1;;point;mean;mean;mean;92500;m s-1;;4;i;1;4;1;m*4;1;s*4;;Eastward Wind;;eastward_wind;;atmos;
V925p;V;va925;;derotate;PressureLevel;1;;point;mean;mean;mean;92500;m s-1;;4;i;1;4;1;m*4;1;s*4;;Northward Wind;;northward_wind;;atmos;
T925p;T;ta925;;;PressureLevel;1;;point;mean;mean;mean;92500;K;;4;i;1;4;1;m*4;1;s*4;;Air Temperature;;air_temperature;;atmos;
QV925p;QV;hus925;;;PressureLevel;1;;point;mean;mean;mean;92500;1;;4;i;1;4;1;m*4;1;s*4;;Specific Humidity;;specific_humidity;;atmos;
FI925p;FI;zg925;;;PressureLevel;0.1019716213;;point;mean;mean;mean;92500;m;;4;i;1;4;1;m*4;1;s*4;;Geopotential Height;;geopotential_height;;atmos;
U850p;U;ua850;;derotate;PressureLevel;1;;point;mean;mean;mean;85000;m s-1;;4;i;1;4;1;m*4;1;s*4;;Eastward Wind;;eastward_wind;;atmos;
V850p;V;va850;;derotate;PressureLevel;1;;point;mean;mean;mean;85000;m s-1;;4;i;1;4;1;m*4;1;s*4;;Northward Wind;;northward_wind;;atmos;
T850p;T;ta850;;;PressureLevel;1;;point;mean;mean;mean;85000;K;;4;i;1;4;1;m*4;1;s*4;;Air Temperature;;air_temperature;;atmos;
QV850p;QV;hus850;;;PressureLevel;1;;point;mean;mean;mean;85000;1;;4;i;1;4;1;m*4;1;s*4;;Specific Humidity;;specific_humidity;;atmos;
FI850p;FI;zg850;;;PressureLevel;0.1019716213;;point;mean;mean;mean;85000;m;;4;i;1;4;1;m*4;1;s*4;;Geopotential Height;;geopotential_height;;atmos;
U700p;U;ua700;;derotate;PressureLevel;1;;point;mean;mean;mean;70000;m s-1;;4;i;1;4;1;m*4;1;s*4;;Eastward Wind;;eastward_wind;;atmos;
V700p;V;va700;;derotate;PressureLevel;1;;point;mean;mean;mean;70000;m s-1;;4;i;1;4;1;m*4;1;s*4;;Northward Wind;;northward_wind;;atmos;
T700p;T;ta700;;;PressureLevel;1;;point;mean;mean;mean;70000;K;;4;i;1;4;1;m*4;1;s*4;;Air Temperature;;air_temperature;;atmos;
QV700p;QV;hus700;;;PressureLevel;1;;point;mean;mean;mean;70000;1;;4;i;1;4;1;m*4;1;s*4;;Specific Humidity;;specific_humidity;;atmos;
FI700p;FI;zg700;;;PressureLevel;0.1019716213;;point;mean;mean;mean;70000;m;;4;i;1;4;1;m*4;1;s*4;;Geopotential Height;;geopotential_height;;atmos;
U600p;U;ua600;;derotate;PressureLevel;1;;point;mean;mean;mean;60000;m s-1;;4;i;1;4;1;m*4;1;s*4;;Eastward Wind;;eastward_wind;;atmos;
V600p;V;va600;;derotate;PressureLevel;1;;point;mean;mean;mean;60000;m s-1;;4;i;1;4;1;m*4;1;s*4;;Northward Wind;;northward_wind;;atmos;
T600p;T;ta600;;;PressureLevel;1;;point;mean;mean;mean;60000;K;;4;i;1;4;1;m*4;1;s*4;;Air Temperature;;air_temperature;;atmos;
QV600p;QV;hus600;;;PressureLevel;1;;point;mean;mean;mean;60000;1;;4;i;1;4;1;m*4;1;s*4;;Specific Humidity;;specific_humidity;;atmos;
FI600p;FI;zg600;;;PressureLevel;0.1019716213;;point;mean;mean;mean;60000;m;;4;i;1;4;1;m*4;1;s*4;;Geopotential Height;;geopotential_height;;atmos;
U500p;U;ua500;;derotate;PressureLevel;1;;point;mean;mean;mean;50000;m s-1;;4;i;1;4;1;m*4;1;s*4;;Eastward Wind;;eastward_wind;;atmos;
V500p;V;va500;;derotate;PressureLevel;1;;point;mean;mean;mean;50000;m s-1;;4;i;1;4;1;m*4;1;s*4;;Northward Wind;;northward_wind;;atmos;
T500p;T;ta500;;;PressureLevel;1;;point;mean;mean;mean;50000;K;;4;i;1;4;1;m*4;1;s*4;;Air Temperature;;air_temperature;;atmos;
QV500p;QV;hus500;;;PressureLevel;1;;point;mean;mean;mean;50000;1;;4;i;1;4;1;m*4;1;s*4;;Specific Humidity;;specific_humidity;;atmos;
FI500p;FI;zg500;;;PressureLevel;0.1019716213;;point;mean;mean;mean;50000;m;;4;i;1;4;1;m*4;1;s*4;;Geopotential Height;;geopotential_height;;atmos;
U400p;U;ua400;;derotate;PressureLevel;1;;point;mean;mean;mean;40000;m s-1;;4;i;1;4;1;m*4;1;s*4;;Eastward Wind;;eastward_wind;;atmos;
V400p;V;va400;;derotate;PressureLevel;1;;point;mean;mean;mean;40000;m s-1;;4;i;1;4;1;m*4;1;s*4;;Northward Wind;;northward_wind;;atmos;
T400p;T;ta400;;;PressureLevel;1;;point;mean;mean;mean;40000;K;;4;i;1;4;1;m*4;1;s*4;;Air Temperature;;air_temperature;;atmos;
QV400p;QV;hus400;;;PressureLevel;1;;point;mean;mean;mean;40000;1;;4;i;1;4;1;m*4;1;s*4;;Specific Humidity;;specific_humidity;;atmos;
FI400p;FI;zg400;;;PressureLevel;0.1019716213;;point;mean;mean;mean;40000;m;;4;i;1;4;1;m*4;1;s*4;;Geopotential Height;;geopotential_height;;atmos;
U300p;U;ua300;;derotate;PressureLevel;1;;point;mean;mean;mean;30000;m s-1;;4;i;1;4;1;m*4;1;s*4;;Eastward Wind;;eastward_wind;;atmos;
V300p;V;va300;;derotate;PressureLevel;1;;point;mean;mean;mean;30000;m s-1;;4;i;1;4;1;m*4;1;s*4;;Northward Wind;;northward_wind;;atmos;
T300p;T;ta300;;;PressureLevel;1;;point;mean;mean;mean;30000;K;;4;i;1;4;1;m*4;1;s*4;;Air Temperature;;air_temperature;;atmos;
QV300p;QV;hus300;;;PressureLevel;1;;point;mean;mean;mean;30000;1;;4;i;1;4;1;m*4;1;s*4;;Specific Humidity;;specific_humidity;;atmos;
FI300p;FI;zg300;;;PressureLevel;0.1019716213;;point;mean;mean;mean;30000;m;;4;i;1;4;1;m*4;1;s*4;;Geopotential Height;;geopotential_height;;atmos;
U200p;U;ua200;;derotate;PressureLevel;1;;point;mean;mean;mean;20000;m s-1;;4;i;1;4;1;m*4;1;s*4;;Eastward Wind;;eastward_wind;;atmos;
V200p;V;va200;;derotate;PressureLevel;1;;point;mean;mean;mean;20000;m s-1;;4;i;1;4;1;m*4;1;s*4;;Northward Wind;;northward_wind;;atmos;
T200p;T;ta200;;;PressureLevel;1;;point;mean;mean;mean;20000;K;;4;i;1;4;1;m*4;1;s*4;;Air Temperature;;air_temperature;;atmos;
QV200p;QV;hus200;;;PressureLevel;1;;point;mean;mean;mean;20000;1;;4;i;1;4;1;m*4;1;s*4;;Specific Humidity;;specific_humidity;;atmos;
FI200p;FI;zg200;;;PressureLevel;0.1019716213;;point;mean;mean;mean;20000;m;;4;i;1;4;1;m*4;1;s*4;;Geopotential Height;geopotential_height_at_200hPa;geopotential_height;;atmos;
U100p;U;ua100;;derotate;PressureLevel;1;;point;mean;mean;mean;10000;m s-1;;4;i;1;4;1;m*4;1;s*4;;Eastward Wind;;eastward_wind;;atmos;
V100p;V;va100;;derotate;PressureLevel;1;;point;mean;mean;mean;10000;m s-1;;4;i;1;4;1;m*4;1;s*4;;Northward Wind;;northward_wind;;atmos;
T100p;T;ta100;;;PressureLevel;1;;point;mean;mean;mean;10000;K;;4;i;1;4;1;m*4;1;s*4;;Air Temperature;;air_temperature;;atmos;
QV100p;QV;hus100;;;PressureLevel;1;;point;mean;mean;mean;10000;1;;4;i;1;4;1;m*4;1;s*4;;Specific Humidity;;specific_humidity;;atmos;
FI100p;FI;zg100;;;PressureLevel;0.1019716213;;point;mean;mean;mean;10000;m;;4;i;1;4;1;m*4;1;s*4;;Geopotential Height;geopotential_height_at_200hPa;geopotential_height;;atmos;
CLCH;CLCH;clh;;;ModelLevel;100;;mean;mean;;;0;%;;4;i;1;24;;;;;;High Level Cloud Fraction;;cloud_area_fraction_in_atmosphere_layer;;atmos;
CLCM;CLCM;clm;;;ModelLevel;100;;mean;mean;;;0;%;;4;i;1;24;;;;;;Mid Level Cloud Fraction;;cloud_area_fraction_in_atmosphere_layer;;atmos;
CLCL;CLCL;cll;;;ModelLevel;100;;mean;mean;;;0;%;;4;i;1;24;;;;;;Low Level Cloud Fraction;;cloud_area_fraction_in_atmosphere_layer;;atmos;
FR_SNOW;FR_SNOW;snc;Max(0.01,Min(1.,W_SNOW/0.015))*H(x);;ModelLevel;100;;point;mean;mean;mean;0;%;;4;i;1;4;1;m*4;1;s*4;;Snow Area Fraction;;surface_snow_area_fraction;;landIce land;
H_SNOW;H_SNOW;snd;;;ModelLevel;1;;point;mean;mean;mean;0;m;;4;i;1;4;1;m*4;1;s*4;;Snow Depth;;surface_snow_thickness;;landIce land;mean where land
;FR_ICE;sic;not allocated in COSMO;;;;;;mean;mean;mean;;%;;;;1;;1;m;1;s;;Sea Ice Area Fraction;;sea_ice_area_fraction;;seaIce ocean;
TOT_SNOW;TOT_SNOW;prsn;SNOW_GSP + SNOW_CON;;ModelLevel;0,000277778;;;mean;;;0;kg m-2 s-1;;;a;1;;;;;;;Snowfall Flux;;snowfall_flux;;atmos;
;;areacella;not output by COSMO;;;;;;;;;;m2;;;;;;;;;;0;Atmosphere Grid-Cell Area;;cell_area;;atmos land;
HSURF;HSURF;orog;;;;1;;;;;;;m;;;;;;;;;;0;Surface Altitude;;surface_altitude;;atmos;
FR_LAND;FR_LAND;sftlf;;;;100;;;;;;;%;;;;;;;;;;0;Land Area Fraction;;land_area_fraction;;atmos;
;;sftgif;not included in COSMO;;;;;;;;;;%;;;;;;;;;;0;Fraction of Grid Cell Covered with Glacier;;land_ice_area_fraction;;land;
;ZFCAP;mrsofc;not output by COSMO;;;;;;;;;;kg m-2;;;;;;;;;;0;Capacity of Soil to Store Water;;soil_moisture_content_at_field_capacity;;land;
;ROOTDP;rootd;not constant;;;;;;;;;;m;;;;;;;;;;0;Maximum Root Depth;;root_depth;;land;
CAPE_ML;CAPE_ML;cape;;;ModelLevel;1;;point;;;;0;J kg-1;;8;i;;;;;;;;Convective available potential energy (CAPE);;atmosphere_convective_available_potential_energy_wrt_surface;;atmos;
#U100z;U;ua100m;;derotate;ZLevel;1;;point;;;;100;m s-1;;24;i;;;;;;;;Eastward wind at 100 m;;eastward_wind;;atmos;
#V100z;V;va100m;;derotate;ZLevel;1;;point;;;;100;m s-1;;24;i;;;;;;;;Northward wind at 100 m;;northward_wind;;atmos;
