CCLM variable name;CCLM variable name (in model output file);output variable name;to be derived from;Derotate (CORDEX);Level;Conversion factor;Cell Method (additional subdaily,CORDEX);Cell Method (subdaily,CORDEX);Cell Method (daily,CORDEX);Cell Method (monthly,CORDEX);Cell Method (seasonal,CORDEX);Levelvalue (height, plev);units;Additional subdaily frq[1/day];"Subdaily frq
[1/day]";ag;"Daily frq
[1/day]";ag;"Monthly frq
[1/mon]";ag;"Seasonal frq
[1/sem]";ag;fx;long_name;comment;standard_name;direction of positive fluxes;"realm
(not required, however, if included should have the value as in CMIP5)";"cell-method: area
(optional)"
T_2M;T_2M;tas;;;ModelLevel;1;;point;mean;mean;mean;2;K;;24;i;;;;;;;;Near-Surface Air Temperature;;air_temperature;;atmos;
TMAX_2M;TMAX_2M;tasmax;;;ModelLevel;1;;;maximum;maximum within days time: mean over days;maximum within days time: mean over days;2;K;;;a;1;;;;;;;Daily Maximum Near-Surface Air Temperature;;air_temperature;;atmos;
TMIN_2M;TMIN_2M;tasmin;;;ModelLevel;1;;;minimum;minimum within days time: mean over days;minimum within days time: mean over days;2;K;;;a;1;;;;;;;Daily Minimum Near-Surface Air Temperature;;air_temperature;;atmos;
T_S;T_S;ts;;;ModelLevel;1;;point;mean;mean;mean;0;K;;24;i;;;;;;;;Surface Temperature;;surface_temperature;;atmos;
U1000p;U;ua1000;;derotate;PressureLevel;1;;point;mean;mean;mean;100000;m s-1;;8;i;;;;;;;;Eastward Wind;already derotated;eastward_wind;;atmos;
U100z;U;ua100m;;derotate;ZLevel;1;;point;mean;mean;mean;100;m s-1;;24;i;;;;;;;;Eastward Wind at 100m;"already derotated; height is above ground";eastward_wind;;atmos;
U200p;U;ua200;;derotate;PressureLevel;1;;point;mean;mean;mean;20000;m s-1;;8;i;;;;;;;;Eastward Wind;already derotated;eastward_wind;;atmos;
U500p;U;ua500;;derotate;PressureLevel;1;;point;mean;mean;mean;50000;m s-1;;8;i;;;;;;;;Eastward Wind;already derotated;eastward_wind;;atmos;
U700p;U;ua700;;derotate;PressureLevel;1;;point;mean;mean;mean;70000;m s-1;;8;i;;;;;;;;Eastward Wind;already derotated;eastward_wind;;atmos;
U850p;U;ua850;;derotate;PressureLevel;1;;point;mean;mean;mean;85000;m s-1;;8;i;;;;;;;;Eastward Wind;already derotated;eastward_wind;;atmos;
U925p;U;ua925;;derotate;PressureLevel;1;;point;mean;mean;mean;92500;m s-1;;8;i;;;;;;;;Eastward Wind;already derotated;eastward_wind;;atmos;
U_10M;U_10M;uas;;derotate;ModelLevel;1;;point;mean;mean;mean;10;m s-1;;24;i;;;;;;;;Eastward Near-Surface Wind;already derotated;eastward_wind;;atmos;
V1000p;V;va1000;;derotate;PressureLevel;1;;point;mean;mean;mean;100000;m s-1;;8;i;;;;;;;;Northward Wind;already derotated;northward_wind;;atmos;
V100z;V;va100m;;derotate;ZLevel;1;;point;mean;mean;mean;100;m s-1;;24;i;;;;;;;;Northward Wind at 100m;"already derotated; height is above ground";northward_wind;;atmos;
V200p;V;va200;;derotate;PressureLevel;1;;point;mean;mean;mean;20000;m s-1;;8;i;;;;;;;;Northward Wind;already derotated;northward_wind;;atmos;
V500p;V;va500;;derotate;PressureLevel;1;;point;mean;mean;mean;50000;m s-1;;8;i;;;;;;;;Northward Wind;already derotated;northward_wind;;atmos;
V700p;V;va700;;derotate;PressureLevel;1;;point;mean;mean;mean;70000;m s-1;;8;i;;;;;;;;Northward Wind;already derotated;northward_wind;;atmos;
V850p;V;va850;;derotate;PressureLevel;1;;point;mean;mean;mean;85000;m s-1;;8;i;;;;;;;;Northward Wind;already derotated;northward_wind;;atmos;
V925p;V;va925;;derotate;PressureLevel;1;;point;mean;mean;mean;92500;m s-1;;8;i;;;;;;;;Northward Wind;already derotated;northward_wind;;atmos;
V_10M;V_10M;vas;;derotate;ModelLevel;1;;point;mean;mean;mean;10;m s-1;;24;i;;;;;;;;Northward Near-Surface Wind;already derotated;northward_wind;;atmos;
W1000p;W;wa1000;;;PressureLevel;1;;point;mean;mean;mean;100000;m s-1;;8;i;;;;;;;;Upward air velocity;;upward_air_velocity;up;atmos;
W200p;W;wa200;;;PressureLevel;1;;point;mean;mean;mean;20000;m s-1;;8;i;;;;;;;;Upward air velocity;;upward_air_velocity;up;atmos;
W500p;W;wa500;;;PressureLevel;1;;point;mean;mean;mean;50000;m s-1;;8;i;;;;;;;;Upward air velocity;;upward_air_velocity;up;atmos;
W700p;W;wa700;;;PressureLevel;1;;point;mean;mean;mean;70000;m s-1;;8;i;;;;;;;;Upward air velocity;;upward_air_velocity;up;atmos;
W850p;W;wa850;;;PressureLevel;1;;point;mean;mean;mean;85000;m s-1;;8;i;;;;;;;;Upward air velocity;;upward_air_velocity;up;atmos;
W925p;W;wa925;;;PressureLevel;1;;point;mean;mean;mean;92500;m s-1;;8;i;;;;;;;;Upward air velocity;;upward_air_velocity;up;atmos;
VMAX_10M;VMAX_10M;wsgsmax;;;ModelLevel;1;;maximum;maximum;maximum within days time: mean over days;maximum within days time: mean over days;10;m s-1;;24;a;1;24;;;;;;Maximum Near-Surface Wind Speed of Gust;;wind_speed_of_gust;;atmos;
FI1000p;FI;zg1000;;;PressureLevel;0.101971621;;point;mean;mean;mean;100000;m;;4;i;;;;;;;;Geopotential Height;;geopotential_height;;atmos;
FI200p;FI;zg200;;;PressureLevel;0.101971621;;point;mean;mean;mean;20000;m;;4;i;;;;;;;;Geopotential Height;;geopotential_height;;atmos;
FI500p;FI;zg500;;;PressureLevel;0.101971621;;point;mean;mean;mean;50000;m;;4;i;;;;;;;;Geopotential Height;;geopotential_height;;atmos;
FI700p;FI;zg700;;;PressureLevel;0.101971621;;point;mean;mean;mean;70000;m;;4;i;;;;;;;;Geopotential Height;;geopotential_height;;atmos;
FI850p;FI;zg850;;;PressureLevel;0.101971621;;point;mean;mean;mean;85000;m;;4;i;;;;;;;;Geopotential Height;;geopotential_height;;atmos;
FI925p;FI;zg925;;;PressureLevel;0.101971621;;point;mean;mean;mean;92500;m;;4;i;;;;;;;;Geopotential Height;;geopotential_height;;atmos;
HPBL;HPBL;zmla;;;ModelLevel;1;;point;mean;mean;mean;0;m;;24;i;;;;;;;;Height of Boundary Layer;;atmosphere_boundary_layer_thickness;;atmos;
